sparsity_label,T,sample_idx,label,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_npl,gsshap_stability,timeshap_comp,timeshap_suff,timeshap_stability,winshap_comp
T16-Medium,16,11,0,-0.995431661605835,0.003234863979741931,0.6207774085509619,4,0.9908045977011494,-0.9945849776268005,0.7465733885765076,0.9742729306487695,-0.9945849776268005
T16-Medium,16,12,0,-0.6958639621734619,0.2728821635246277,0.3716450894688226,4,0.4045977011494253,-0.9251717925071716,0.6958639621734619,0.923937360178971,-0.9251717925071716
T16-Medium,16,13,1,0.0006620883941650391,0.0,-1.00625,4,,0.0006620883941650391,0.0,0.865933271636698,0.0006620883941650391
T16-Medium,16,14,0,-0.6872807145118713,0.4894542992115021,0.5300928040032762,4,1.0,-0.9159737825393677,0.6872805953025818,0.9496644295302015,-0.9159737825393677
T16-Medium,16,15,0,-0.9931890964508057,0.25196215510368347,0.6340185231340694,5,1.0,-0.9924176335334778,0.7448918223381042,0.9574944071588366,-0.9924176335334778
T16-Medium,16,16,1,0.0,0.0,-1.00625,4,,7.3015689849853516e-06,0.0,0.9625279642058165,0.0
T16-Medium,16,17,0,-0.49941539764404297,0.7494170069694519,0.40814231292206715,5,1.0,-0.9970393776893616,0.7492667436599731,0.9910514541387024,-0.9970393776893616
T16-Medium,16,18,1,0.0015540122985839844,0.0,-1.00625,5,,0.0015540122985839844,0.0,0.8530096259712829,0.0015540122985839844
T16-Medium,16,19,1,0.0,0.0,-1.00625,5,,2.2351741790771484e-06,0.0,0.8320867236996982,0.0
T16-Medium,16,20,0,-0.9998679757118225,0.2168499380350113,0.6128959942215739,5,0.9962913361491706,-0.9694458842277527,0.7498633861541748,0.9731543624161073,-0.9694458842277527
T16-Medium,16,21,1,0.0019338726997375488,0.0,-1.00625,5,,0.0019338726997375488,0.0,0.9228187919463086,0.0019338726997375488
T16-Medium,16,22,0,-0.8516008257865906,0.297497034072876,0.5954301305767404,5,0.997218502111878,-0.8505665063858032,0.6386890411376953,0.977069351230425,-0.8505665063858032
T16-Medium,16,23,1,0.0,0.0,-1.00625,4,,1.4901161193847656e-07,0.0,0.8299367005859182,0.0
T16-Medium,16,24,1,0.005738675594329834,0.0,-1.00625,4,,0.005738675594329834,0.0,0.889261744966443,0.005738675594329834
T16-Medium,16,25,1,0.0011487901210784912,0.0,-1.00625,5,,0.0011487901210784912,0.0,0.9280657374355369,0.0011487901210784912
T16-Medium,16,26,1,0.0,0.0,-1.00625,4,,0.0,0.0,,0.0
T16-Medium,16,27,1,0.0,0.0,-1.00625,5,,0.0,0.0,,0.0
T16-Medium,16,28,0,-0.9896989464759827,0.008265911601483822,0.6772076058945893,4,1.0,-0.9894202947616577,0.7422742247581482,0.9228187919463086,-0.9894202947616577
T16-Medium,16,29,0,-0.9993868470191956,0.0004655031079892069,0.8478463096644471,5,1.0,-0.7816632986068726,0.6375410556793213,0.9927293064876958,-0.750235378742218
T16-Medium,16,30,1,0.0,0.0,-1.00625,4,,2.682209014892578e-07,0.0,0.716507721561535,0.0
T16-Medium,16,31,1,0.009766608476638794,0.0,-1.00625,5,,0.009766608476638794,0.0,0.9250559284116332,0.009766608476638794
T16-Medium,16,32,1,0.0,0.0,-1.00625,4,,8.940696716308594e-08,0.0,0.8215128710737781,0.0
T16-Medium,16,33,1,0.0,0.0,-1.00625,4,,0.0,0.0,,0.0
T16-Medium,16,34,0,-0.7430529594421387,0.2526090443134308,0.6571219040825318,4,1.0,-0.9900916218757629,0.7430497407913208,0.9580536912751678,-0.9900916218757629
T16-Medium,16,35,0,-0.8067910075187683,0.33827081322669983,0.5798117103166385,4,0.9999999999999999,-0.8061313629150391,0.6050930023193359,0.9194630872483222,-0.8061313629150391
T16-Medium,16,36,0,-0.80794757604599,0.169358029961586,0.5514667735642595,4,0.9931034482758622,-0.806562602519989,0.6059604287147522,0.9161073825503356,-0.806562602519989
T16-Medium,16,37,0,-0.7498152256011963,0.25003182888031006,0.5408450023624196,4,1.0,-0.9982301592826843,0.7498114705085754,0.9809843400447428,-0.9982301592826843
T16-Medium,16,38,0,-0.9994855523109436,0.00015411886852234602,0.35908223587709154,4,0.4045977011494253,-0.986599862575531,0.7496141791343689,0.9837807606263982,-0.986599862575531
T16-Medium,16,39,1,0.000398978590965271,0.0,-1.00625,4,,0.000398978590965271,0.0,0.8808724832214764,0.000398978590965271
T16-Medium,16,40,1,0.0008486509323120117,0.0,-1.00625,4,,0.0008486509323120117,0.0,0.9245411298538819,0.0008486509323120117
